Campaign_Name,Start_Date,End_Date,Budget,Target_Audience,Marketing_Medium,Impressions,Clicks,Conversions,CTR_Percent,Conversion_Rate_Percent,Cost_Per_Click,Cost_Per_Conversion,Revenue,ROI_Percent
Summer Sale 2023,2023-06-15,2023-06-22,50000000,Gen Z,Social Media,282710,5827,175,2.06,3.0,8581.0,285714.0,189493150,278.99
Black Friday,2023-09-27,2023-10-07,100000000,Tất cả,Multi-channel,881886,11060,617,1.25,5.58,9042.0,162075.0,591857250,491.86
New Year Promo,2023-09-20,2023-10-15,75000000,Gia đình,TV + Online,214351,6019,227,2.81,3.77,12461.0,330396.0,338223644,350.96
Flash Sale,2023-01-23,2023-02-22,30000000,Millennials,Mobile App,921273,42701,3104,4.63,7.27,703.0,9665.0,2584278656,8514.26
Holiday Special,2023-08-23,2023-09-19,80000000,Tất cả,Email + Social,132663,1649,96,1.24,5.82,48514.0,833333.0,100056192,25.07
Back to School,2023-08-07,2023-09-04,40000000,Sinh viên,Online,213206,6313,585,2.96,9.27,6336.0,68376.0,207160785,417.9
Spring Festival,2023-02-11,2023-02-28,60000000,Gia đình,TV + Radio,737846,11756,353,1.59,3.0,5104.0,169972.0,503942094,739.9
Tech Week,2023-10-08,2023-11-06,45000000,Tech Enthusiasts,Online,440981,11128,754,2.52,6.78,4044.0,59682.0,617107530,1271.35
Mobile Monday,2023-08-21,2023-09-13,25000000,Mobile Users,Mobile App,734836,19993,1668,2.72,8.34,1250.0,14988.0,733824924,2835.3
Weekend Deal,2023-10-10,2023-11-09,35000000,Shoppers,Email,325468,8853,806,2.72,9.1,3953.0,43424.0,860670174,2359.06
